Date,Open,High,Low,Close,Volume
05/24/2024,"527.85","530.27","526.88","529.44","41,291,078"
05/23/2024,"532.96","533.07","524.72","525.96","57,211,199"
05/22/2024,"530.65","531.38","527.60","529.83","48,389,969"
05/21/2024,"529.28","531.52","529.07","531.36","33,437,000"
05/20/2024,"529.57","531.56","529.17","530.06","37,764,207"
05/17/2024,"528.81","529.52","527.32","529.45","59,187,594"
05/16/2024,"529.88","531.52","528.54","528.69","50,244,832"
05/15/2024,"525.83","530.08","525.18","529.78","59,504,898"
05/14/2024,"521.11","523.83","520.56","523.30","57,535,871"
05/13/2024,"522.56","522.67","519.74","520.91","36,716,359"
05/10/2024,"521.81","522.64","519.59","520.84","52,233,168"
05/09/2024,"517.38","520.21","516.71","520.17","43,643,672"
05/08/2024,"515.26","517.74","515.14","517.19","42,047,207"
05/07/2024,"517.56","518.57","516.45","517.14","52,561,301"
05/06/2024,"513.75","516.61","513.30","516.57","47,264,699"
05/03/2024,"511.16","512.55","508.56","511.29","72,756,711"
05/02/2024,"504.15","505.89","499.55","505.03","62,550,180"
05/01/2024,"501.38","508.19","499.87","500.35","80,242,844"
04/30/2024,"508.56","509.56","501.98","501.98","77,483,570"
04/29/2024,"510.09","510.75","507.25","510.06","46,415,449"
04/26/2024,"506.35","509.88","505.70","508.26","64,306,121"
04/25/2024,"499.18","504.27","497.49","503.49","69,122,367"
04/24/2024,"506.56","507.37","503.13","505.41","55,928,078"
04/23/2024,"501.78","506.09","499.53","505.65","64,633,621"
04/22/2024,"497.83","502.38","495.43","499.72","67,961,047"
04/19/2024,"499.44","500.46","493.86","495.16","102,212,602"
04/18/2024,"501.98","504.13","498.56","499.52","74,548,086"
04/17/2024,"506.05","506.22","499.12","500.55","75,910,312"
04/16/2024,"504.94","506.50","502.21","503.53","73,484,016"
04/15/2024,"515.13","515.30","503.58","504.45","92,101,445"
04/12/2024,"514.37","515.82","509.08","510.85","92,561,086"
04/11/2024,"515.68","519.48","512.08","518.00","70,099,008"
04/10/2024,"513.48","516.16","512.09","514.12","82,652,805"
04/09/2024,"520.50","520.75","514.35","519.32","68,124,391"
04/08/2024,"519.15","520.18","517.89","518.72","48,401,754"
04/05/2024,"514.46","520.44","514.01","518.43","74,546,477"
04/04/2024,"523.52","523.87","512.76","513.07","96,858,070"
04/03/2024,"517.72","520.95","517.67","519.41","59,155,762"
04/02/2024,"518.24","518.98","516.48","518.84","74,230,312"
04/01/2024,"523.83","524.38","520.97","522.16","62,477,539"
03/28/2024,"523.21","524.61","522.78","523.07","96,294,891"
03/27/2024,"521.71","523.21","519.49","523.17","82,999,773"
03/26/2024,"521.23","521.58","518.40","518.81","65,463,738"
